"","launched_at","total_pledged","cumsum"
"406",2020-12-26,115524.92,1791595154.38
"407",2020-12-27,54423.18,1791649577.56
"408",2020-12-28,766616.42,1792416193.98
"409",2020-12-29,215259.94,1792631453.92
"410",2020-12-30,734776.38,1793366230.3
"411",2020-12-31,187096.74,1793553327.04
"412",2021-01-01,424084.97,1793977412.01
"413",2021-01-02,649176.13,1794626588.14
"414",2021-01-03,137888.69,1794764476.83
"415",2021-01-04,1813803.37,1796578280.2
"416",2021-01-05,5392546.74,1801970826.94
"417",2021-01-06,10781490.58,1812752317.52
"418",2021-01-07,519112.53,1813271430.05
"419",2021-01-08,634503.76,1813905933.81
"420",2021-01-09,251264.28,1814157198.09
"421",2021-01-10,81188.48,1814238386.57
"422",2021-01-11,946994.56,1815185381.13
"423",2021-01-12,6862407.85,1822047788.98
"424",2021-01-13,4846730.43,1826894519.41
"425",2021-01-14,757582.82,1827652102.23
"426",2021-01-15,841998.96,1828494101.19
"427",2021-01-16,109771.11,1828603872.3
"428",2021-01-17,223313.78,1828827186.08
"429",2021-01-18,816861.45,1829644047.53
"430",2021-01-19,5054951.73,1834698999.26
"431",2021-01-20,4019927.46,1838718926.72
"432",2021-01-21,1127651.59,1839846578.31
"433",2021-01-22,394199.25,1840240777.56
"434",2021-01-23,131138.31,1840371915.87
"435",2021-01-24,278634.93,1840650550.8
"436",2021-01-25,2251254.07,1842901804.87
"437",2021-01-26,11350510.32,1854252315.19
"438",2021-01-27,1592563.35,1855844878.54
"439",2021-01-28,1534655.3,1857379533.84
"440",2021-01-29,2523848.79,1859903382.63
"441",2021-01-30,620364.94,1860523747.57
"442",2021-01-31,253764.91,1860777512.48
"443",2021-02-01,6487565.39,1867265077.87
"444",2021-02-02,17080091.37,1884345169.24
"445",2021-02-03,11558372.74,1895903541.98
"446",2021-02-04,1159464.06,1897063006.04
"447",2021-02-05,743937.24,1897806943.28
"448",2021-02-06,287129.69,1898094072.97
"449",2021-02-07,172946.62,1898267019.59
"450",2021-02-08,694511.04,1898961530.63
"451",2021-02-09,3688180.58,1902649711.21
"452",2021-02-10,957411.73,1903607122.94
"453",2021-02-11,551155.88,1904158278.82
"454",2021-02-12,146508.02,1904304786.84
"455",2021-02-13,17829.97,1904322616.81
"456",2021-02-14,132800.36,1904455417.17
"457",2021-02-15,870114.86,1905325532.03
"458",2021-02-16,3836692.9,1909162224.93
"459",2021-02-17,3700530.76,1912862755.69
"460",2021-02-18,1485464.52,1914348220.21
"461",2021-02-19,991054.82,1915339275.03
"462",2021-02-20,688080.2,1916027355.23
"463",2021-02-21,84747.98,1916112103.21
"464",2021-02-22,633981.46,1916746084.67
"465",2021-02-23,9467797.01,1926213881.68
"466",2021-02-24,1927900.74,1928141782.42
"467",2021-02-25,450060.2,1928591842.62
"468",2021-02-26,736978.53,1929328821.15
"469",2021-02-27,293911.82,1929622732.97
"470",2021-02-28,2521014.55,1932143747.52
"471",2021-03-01,2803643.34,1934947390.86
"472",2021-03-02,5765615.75,1940713006.61
"473",2021-03-03,1095074.83,1941808081.44
"474",2021-03-04,314385.45,1942122466.89
"475",2021-03-05,2253680.25,1944376147.14
"476",2021-03-06,233036.89,1944609184.03
"477",2021-03-07,178814.35,1944787998.38
"478",2021-03-08,1487889.79,1946275888.17
"479",2021-03-09,12458026.82,1958733914.99
"480",2021-03-10,25552469.86,1984286384.85
"481",2021-03-11,3274379.36,1987560764.21
"482",2021-03-12,635737.72,1988196501.93
"483",2021-03-13,1050685.69,1989247187.62
"484",2021-03-14,502297.45,1989749485.07
"485",2021-03-15,10573898.35,2000323383.42
"486",2021-03-16,10959894.03,2011283277.45
"487",2021-03-17,2722113.61,2014005391.06
"488",2021-03-18,849937.37,2014855328.43
"489",2021-03-19,4242934.76,2019098263.19
"490",2021-03-20,244000.49,2019342263.68
"491",2021-03-21,2764509.08,2022106772.76
"492",2021-03-22,23773353.18,2045880125.94
"493",2021-03-23,14929137.97,2060809263.91
"494",2021-03-24,1775616.58,2062584880.49
"495",2021-03-25,2724219.72,2065309100.21
"496",2021-03-26,718649.28,2066027749.49
"497",2021-03-27,208628.07,2066236377.56
"498",2021-03-28,284779.82,2066521157.38
"499",2021-03-29,5108655.16,2071629812.54
"500",2021-03-30,38963638.12,2110593450.66
"501",2021-03-31,1645945.99,2112239396.65
"502",2021-04-01,1391308.7,2113630705.35
"503",2021-04-02,1581162.85,2115211868.2
"504",2021-04-03,490095.61,2115701963.81
"505",2021-04-04,80428.8,2115782392.61
"506",2021-04-05,2723091.66,2118505484.27
"507",2021-04-06,5100577.53,2123606061.8
"508",2021-04-07,17683826.3,2141289888.1
"509",2021-04-08,1337219.58,2142627107.68
"510",2021-04-09,397887.64,2143024995.32
"511",2021-04-10,345755.87,2143370751.19
"512",2021-04-11,136398.48,2143507149.67
"513",2021-04-12,3035259.17,2146542408.84
"514",2021-04-13,19981135.76,2166523544.6
"515",2021-04-14,5114080.18,2171637624.78
"516",2021-04-15,1258113.06,2172895737.84
"517",2021-04-16,427926.9,2173323664.74
"518",2021-04-17,99129.64,2173422794.38
"519",2021-04-18,2883899.94,2176306694.32
"520",2021-04-19,1957434.39,2178264128.71
"521",2021-04-20,5427549.66,2183691678.37
"522",2021-04-21,1866716.65,2185558395.02
"523",2021-04-22,1179598.5,2186737993.52
"524",2021-04-23,2150291.76,2188888285.28
"525",2021-04-24,591962.71,2189480247.99
"526",2021-04-25,2455731.69,2191935979.68
"527",2021-04-26,3448165.35,2195384145.03
"528",2021-04-27,15097892.23,2210482037.26
"529",2021-04-28,3997260.56,2214479297.82
"530",2021-04-29,991776.04,2215471073.86
"531",2021-04-30,833411.62,2216304485.48
"532",2021-05-01,7357351.19,2223661836.67
"533",2021-05-02,114294.61,2223776131.28
"534",2021-05-03,4946113.83,2228722245.11
"535",2021-05-04,2750122.13,2231472367.24
"536",2021-05-05,1005870.46,2232478237.7
"537",2021-05-06,1822470.8,2234300708.5
"538",2021-05-07,1394975.65,2235695684.15
"539",2021-05-08,307020.32,2236002704.47
"540",2021-05-09,173296.89,2236176001.36
"541",2021-05-10,586965.09,2236762966.45
"542",2021-05-11,7410518.8,2244173485.25
"543",2021-05-12,1771546.62,2245945031.87
"544",2021-05-13,412731.74,2246357763.61
"545",2021-05-14,33143,2246390906.61
"546",2021-05-15,2522668,2248913574.61
"547",2021-05-16,8970,2248922544.61
"548",2021-05-17,588488.29,2249511032.9
"549",2021-05-18,1372575.84,2250883608.74
"550",2021-05-19,516157.53,2251399766.27
"551",2021-05-20,1440877.85,2252840644.12
"552",2021-05-21,167784.49,2253008428.61
"553",2021-05-22,94457.66,2253102886.27
"554",2021-05-23,45133.32,2253148019.59
"555",2021-05-24,203060.44,2253351080.03
"556",2021-05-25,2125888.7,2255476968.73
"557",2021-05-26,245001.45,2255721970.18
"558",2021-05-27,1232596.91,2256954567.09
"559",2021-05-28,1969373.92,2258923941.01
"560",2021-05-29,6177302,2265101243.01
"561",2021-05-30,46341,2265147584.01
"562",2021-05-31,1646813.07,2266794397.08
"563",2021-06-01,8636910.78,2275431307.86
"564",2021-06-02,988939.68,2276420247.54
"565",2021-06-03,200018.58,2276620266.12
"566",2021-06-04,93488.87,2276713754.99
"567",2021-06-05,219547.16,2276933302.15
"568",2021-06-06,141569.29,2277074871.44
"569",2021-06-07,2020935.2,2279095806.64
"570",2021-06-08,864720.32,2279960526.96
"571",2021-06-09,945846.76,2280906373.72
"572",2021-06-10,722526.34,2281628900.06
"573",2021-06-11,100429.44,2281729329.5
"574",2021-06-12,93588,2281822917.5
"575",2021-06-13,73747.48,2281896664.98
"576",2021-06-14,166035.66,2282062700.64
"577",2021-06-15,4189683.39,2286252384.03
"578",2021-06-16,1982305.35,2288234689.38
"579",2021-06-17,3635.64,2288238325.02
"580",2021-06-18,6043.58,2288244368.6
"581",2021-06-19,37812,2288282180.6
"582",2021-06-20,4170,2288286350.6
"583",2021-06-22,54817,2288341167.6
"584",2021-06-23,11156,2288352323.6
"585",2021-06-24,98392,2288450715.6
"586",2021-06-25,16.42,2288450732.02
"587",2021-06-26,2962.32,2288453694.34
"588",2021-06-27,1920,2288455614.34
"589",2021-06-28,182064.82,2288637679.16
"590",2021-06-29,1684584,2290322263.16
"591",2021-06-30,133873.62,2290456136.78
"592",2021-07-01,1137533.63,2291593670.41
"593",2021-07-02,25328.8,2291618999.21
"594",2021-07-03,8233,2291627232.21
"595",2021-07-04,1437,2291628669.21
"596",2021-07-05,21817,2291650486.21
"597",2021-07-06,365395.29,2292015881.5
"598",2021-07-07,115057,2292130938.5
"599",2021-07-08,233806.32,2292364744.82
"600",2021-07-09,16883,2292381627.82
"601",2021-07-10,86969.58,2292468597.4
"602",2021-07-11,77,2292468674.4
"603",2021-07-12,365659,2292834333.4
"604",2021-07-13,3233669.28,2296068002.68
"605",2021-07-14,655834.22,2296723836.9
"606",2021-07-15,22562370.4,2319286207.3
"607",2021-07-16,254973.81,2319541181.11
"608",2021-07-17,682051.17,2320223232.28
"609",2021-07-18,19546.29,2320242778.57
"610",2021-07-19,1408774.48,2321651553.05
"611",2021-07-20,619310.03,2322270863.08
"612",2021-07-21,8155086.54,2330425949.62
"613",2021-07-22,544334.35,2330970283.97
"614",2021-07-23,14244,2330984527.97
"615",2021-07-24,66557.1,2331051085.07
"616",2021-07-25,26974,2331078059.07
"617",2021-07-26,3637976.91,2334716035.98
"618",2021-07-27,2741964.55,2337458000.53
"619",2021-07-28,8317899.59,2345775900.12
"620",2021-07-29,3448376.32,2349224276.44
"621",2021-07-30,71536.57,2349295813.01
"622",2021-07-31,367012.1,2349662825.11
"623",2021-08-01,305043.82,2349967868.93
"624",2021-08-02,675827.01,2350643695.94
"625",2021-08-03,8931145.07,2359574841.01
"626",2021-08-04,2073889.58,2361648730.59
"627",2021-08-05,4492698.72,2366141429.31
"628",2021-08-06,3861431.09,2370002860.4
"629",2021-08-07,205111.12,2370207971.52
"630",2021-08-08,57316.19,2370265287.71
"631",2021-08-09,198132.68,2370463420.39
"632",2021-08-10,1010541.47,2371473961.86
"633",2021-08-11,9035591.05,2380509552.91
